book_name,score,num,picturelink,publisher,publishyear,ISBN
        我亲爱的甜橙树      ,9.1,5388,https://img1.doubanio.com/view/subject/l/public/s4386309.jpg,天天出版社,2010,9.79E+12
        教父      ,9.1,13861,https://img3.doubanio.com/view/subject/l/public/s27227804.jpg, 江苏文艺出版社,2014,9.79E+12
        故事      ,9.2,7593,https://img1.doubanio.com/view/subject/l/public/s27598249.jpg, 天津人民出版社,2014,9.79E+12
        树上的男爵      ,9.1,17766,https://img1.doubanio.com/view/subject/l/public/s8972078.jpg, 译林出版社,2012,9.79E+12
        罗马人的故事2      ,9.2,2936,https://img1.doubanio.com/view/subject/l/public/s8859038.jpg, 中信出版社,2011,9.79E+12
        神秘岛全三册      ,9.2,2781,https://img1.doubanio.com/view/subject/l/public/s2660498.jpg, 中国青年出版社,1979,NULL
        罗杰99艾克罗伊德谋杀案      ,9,1634,https://img1.doubanio.com/view/subject/l/public/s26384097.jpg, 贵州人民出版社,1998,9.79E+12
        呼兰河传      ,9,2069,https://img3.doubanio.com/view/subject/l/public/s1934734.jpg, 中国青年出版社,2003,9.79E+12
        孽子      ,9.1,10902,https://img3.doubanio.com/view/subject/l/public/s6240330.jpg, 广西师范大学出版社,2010,9.79E+12
        木心作品八种      ,9.3,2121,https://img1.doubanio.com/view/subject/l/public/s6497767.jpg, 广西师范大学出版社,2009,9.79E+12
        灵魂的事      ,9,2999,https://img3.doubanio.com/view/subject/l/public/s1319265.jpg, 百花文艺出版社,2005,9.79E+12
        万物既聪慧又奇妙      ,9.2,3059,https://img3.doubanio.com/view/subject/l/public/s4404535.jpg, 中国城市出版社,2010,9.79E+12
        局外人      ,9,92848,https://img3.doubanio.com/view/subject/l/public/s4468484.jpg, 上海译文出版社,2010,9.79E+12
        荒原狼      ,9,5158,https://img3.doubanio.com/view/subject/l/public/s4477292.jpg, 上海译文出版社,2010,9.79E+12
        所罗门王的指环      ,9.2,1722,https://img3.doubanio.com/view/subject/l/public/s1032614.jpg, 中国和平出版社,1998,9.79E+12
