book_name,score,num,picturelink,publisher,publishyear,ISBN,rank
        我亲爱的甜橙树      ,9.1,5388,https://img1.doubanio.com/view/subject/l/public/s4386309.jpg,天天出版社,2010 ,9787501602933 ,﻿5809
        教父      ,9.1,13861,https://img3.doubanio.com/view/subject/l/public/s27227804.jpg, 江苏文艺出版社,2014 ,9787539967448 ,﻿6747
        树上的男爵      ,9.1,17766,https://img1.doubanio.com/view/subject/l/public/s8972078.jpg, 译林出版社,2012 ,9787544722803 ,﻿5019
        罗马人的故事2      ,9.2,2936,https://img1.doubanio.com/view/subject/l/public/s8859038.jpg, 中信出版社,2011 ,9787508630397 ,﻿132734
        呼兰河传      ,9,2069,https://img3.doubanio.com/view/subject/l/public/s1934734.jpg, 中国青年出版社,2003 ,9787500652052 ,206141 
        孽子      ,9.1,10902,https://img3.doubanio.com/view/subject/l/public/s6240330.jpg, 广西师范大学出版社,2010 ,9787563397655 ,205948 
        木心作品八种      ,9.3,2121,https://img1.doubanio.com/view/subject/l/public/s6497767.jpg, 广西师范大学出版社,2009 ,9787563377381 ,118278 
        万物既聪慧又奇妙      ,9.2,3059,https://img3.doubanio.com/view/subject/l/public/s4404535.jpg, 中国城市出版社,2010 ,9787507422856 ,116627 
        局外人      ,9,92848,https://img3.doubanio.com/view/subject/l/public/s4468484.jpg, 上海译文出版社,2010 ,9787532751471 ,110417 
        荒原狼      ,9,5158,https://img3.doubanio.com/view/subject/l/public/s4477292.jpg, 上海译文出版社,2010 ,9787532751488 ,94598 
        中国哲学简史      ,9.2,2372,https://img3.doubanio.com/view/subject/l/public/s3825683.jpg, 生活·读书·新知三联书店,2009 ,9787108030795 ,86338 
        世说新语      ,9.1,1745,https://img3.doubanio.com/view/subject/l/public/s23925082.jpg, 中华书局,2007 ,9787115173430 ,64569 
        银河帝国3：第二基地      ,9.2,5644,https://img3.doubanio.com/view/subject/l/public/s10393872.jpg, 江苏文艺出版社,2012 ,9787539952680 ,59949 
        C专家编程      ,9.2,1923,https://img9.doubanio.com/view/subject/l/public/s5886086.jpg, 人民邮电出版社,2008 ,9787115171801 ,53258 
