book_name,author,score
追风筝的人"",[美] 卡勒德·胡赛尼 ,8.9
解忧杂货店"",[日] 东野圭吾 ,8.5
小王子"",[法] 圣埃克苏佩里 ,9
白夜行"",[日] 东野圭吾 ,9.1
活着"",余华 ,9.4
嫌疑人X的献身"",[日] 东野圭吾 ,8.9
三体"",刘慈欣 ,8.8
围城"",钱锺书 ,8.9
挪威的森林"",[日] 村上春树 ,8
红楼梦"",[清] 曹雪芹 著 ,9.6
百年孤独"",[哥伦比亚] 加西亚·马尔克斯 ,9.2
看见"",柴静 ,8.8
平凡的世界（全三部）"",路遥 ,9
三体Ⅱ"",刘慈欣 ,9.3
三体Ⅲ"",刘慈欣 ,9.2
我们仨"",杨绛 ,8.7
不能承受的生命之轻"",[捷克] 米兰·昆德拉 ,8.5
达·芬奇密码"",[美] 丹·布朗 ,8.2
天才在左 疯子在右"",高铭 ,8.1
明朝那些事儿（壹）"",当年明月 ,8.7
撒哈拉的故事"",三毛 ,9
哈利·波特与魔法石"",[英] J. K. 罗琳 ,9.1
简爱（英文全本）"",[英] 夏洛蒂·勃朗特 ,8.5
傲慢与偏见"",[英] 奥斯丁 ,8.8
许三观卖血记"",余华 ,8.7
恶意"",[日] 东野圭吾 ,8.4
目送"",龙应台 ,8.6
边城"",沈从文 ,8.6
人间失格"",太宰治 ,8.3
霍乱时期的爱情"",[哥伦比亚] 加西亚·马尔克斯 ,9
飘"",[美国] 玛格丽特·米切尔 ,9.3
盗墓笔记"",南派三叔 ,8.3
倾城之恋"",花城出版社 ,8.5
窗边的小豆豆"",[日] 黑柳彻子 著 ,8.7
哈利·波特与阿兹卡班的囚徒"",[英] J. K. 罗琳 ,9
狼图腾"",姜戎 ,8.2
老人与海"",海明威 ,8.4
房思琪的初恋乐园"",林奕含 ,9.2
哈利·波特与火焰杯"",[英] J. K. 罗琳 ,9
万历十五年"",[美] 黄仁宇 ,8.9
哈利·波特与密室"",[英] J. K. 罗琳 ,8.9
穆斯林的葬礼"",霍达 ,8.1
鲁滨逊漂流记"",[英] 笛福 ,8.1
1984"",[英] 乔治·奥威尔 ,9.3
送你一颗子弹"",刘瑜 ,8.6
情人"",[法] 玛格丽特·杜拉斯 ,8.1
骆驼祥子"",老舍 ,8.4
人类简史"",[以色列] 尤瓦尔·赫拉利 ,9.1
黄金时代"",王小波 ,8.8
三国演义（全二册）"",[明] 罗贯中 ,9.2
月亮与六便士"",[英] 威廉·萨默塞特·毛姆 ,8.8
哈利·波特与混血王子"",[英] J. K. 罗琳 ,8.8
牧羊少年奇幻之旅"",[巴西]保罗·柯艾略 ,8.6
哈利·波特与凤凰社"",[英] J. K. 罗琳 ,8.7
1Q84 BOOK 1"",[日] 村上春树 ,8.3
悟空传"",今何在 ,8.3
哈利·波特与死亡圣器"",[英] J. K. 罗琳 ,9
局外人"",[法] 阿尔贝·加缪 ,9
苏菲的世界"",（挪威）乔斯坦·贾德 ,8.5
向左走·向右走"",幾米 ,8.4
白鹿原"",陈忠实 ,8.7
无声告白"",[美] 伍绮诗 ,8.2
天龙八部"",金庸 ,9.1
茶花女"",小仲马 ,8.2
基督山伯爵"",大仲马 ,9
呼啸山庄"",（英）勃朗特 ,8.4
了不起的盖茨比"",菲茨杰拉德 ,8.4
亲爱的安德烈"",龙应台 ,8.6
一个陌生女人的来信"",[奥] 斯台芬·茨威格 ,8.7
沉默的大多数"",王小波 ,9.1
灿烂千阳"",[美] 卡勒德·胡赛尼 ,8.8
福尔摩斯探案全集（上中下）"",[英] 阿·柯南道尔 ,9.2
无人生还"",[英] 阿加莎・克里斯蒂 ,8.9
东方快车谋杀案"",[英] 阿加莎·克里斯蒂 ,9
莲花"",安妮宝贝 ,8
笑傲江湖（全四册）"",金庸 ,9
海边的卡夫卡"",[日] 村上春树 ,8.1
